Age,Income,LoanAmount,CreditScore,EmploymentYears,Default
20,73957,76385,444,27,1
22,53010,71017,490,22,1
40,83383,60881,745,30,0
54,26659,66274,626,2,0
26,88750,34432,822,15,0
32,132391,70131,534,12,1
20,54430,41072,337,4,1
46,67500,57456,787,23,0
23,125265,40593,706,8,0
34,95990,89006,345,14,0
43,155182,94147,413,5,0
38,48144,54377,436,23,1
25,95920,7966,559,36,0
38,185274,89447,349,33,0
28,40826,44317,376,1,0
55,188228,12125,372,4,1
25,172318,72926,314,27,1
59,39004,7837,661,31,0
41,145868,12101,742,17,0
52,190172,76389,319,0,0
31,157616,16538,695,31,0
31,26102,92061,451,28,1
27,80491,54790,839,19,0
29,37869,19720,347,4,0
55,175613,67113,403,8,0
61,33150,45451,314,22,0
63,102425,55732,316,29,1
51,156628,84115,628,32,0
58,43552,84963,525,14,1
27,117145,84140,785,19,0
34,67396,70922,723,2,0
34,157535,37411,503,24,0
20,59623,43620,454,1,0
48,176632,10249,369,6,0
18,160482,14143,791,32,0
29,31351,58732,561,0,1
56,49388,29512,729,23,0
21,29968,82613,344,31,0
59,89259,29686,723,14,0
30,55596,21099,467,0,0
51,128670,37171,579,36,0
59,109168,28785,702,32,0
38,64544,76569,534,14,0
39,188653,35756,318,22,1
21,51225,33440,651,19,0
35,148435,34800,593,7,0
22,104274,36058,679,14,0
36,139228,84037,670,6,0
19,42436,31352,659,30,0
29,48085,7238,336,16,0
34,168993,28438,642,1,0
27,23896,76469,508,26,0
51,28785,97215,790,6,1
23,133459,18425,849,37,0
25,73385,8097,814,28,0
28,101164,74741,730,13,0
29,68805,81735,678,39,0
26,185725,78619,631,1,0
19,189541,23882,458,21,0
25,145672,66592,595,32,0
28,177975,13980,402,37,1
53,84542,56873,604,0,0
27,108136,22395,655,0,0
38,126286,16877,597,26,0
37,193742,33008,305,15,0
25,127905,41376,570,18,0
53,66279,74824,327,3,0
46,134301,34596,733,1,0
59,28950,11943,502,6,1
29,175835,63111,594,17,0
31,66901,88310,559,15,0
38,72587,89919,473,38,0
39,170656,58519,732,14,0
38,63284,79271,817,7,1
61,35038,59510,798,8,0
47,62567,21334,591,17,0
56,75037,78092,784,33,0
37,188355,69469,833,25,0
41,184279,99058,546,36,1
40,189328,5327,673,10,0
24,195220,10710,587,38,0
26,66522,76443,351,1,1
18,50371,44001,608,29,0
43,151819,7499,665,27,0
55,116837,82246,456,12,0
55,170021,49441,615,14,0
61,196475,23249,330,26,0
39,17966,53879,457,22,1
61,109776,75204,783,28,0
27,190160,44310,780,0,0
23,111447,91687,839,39,0
34,88107,47079,548,11,0
55,34391,50973,467,6,1
41,71965,56989,587,7,0
27,186046,89799,536,6,0
25,121688,8415,803,20,0
38,117424,33136,501,26,0
23,35581,89274,628,21,0
38,191344,37470,484,20,0
56,118141,96762,760,18,0
41,19025,53765,301,37,1
50,142242,32572,769,33,0
35,52025,93291,589,2,0
45,193462,59500,528,2,0
49,122381,61690,784,3,0
29,84489,99092,354,27,0
59,33678,33635,368,36,1
44,152389,61121,345,39,1
27,182307,21407,310,27,0
63,77348,74554,578,11,0
59,85649,36756,594,37,0
49,177579,66104,514,10,0
59,136493,77081,633,0,0
43,77784,47169,524,3,0
42,68223,44838,572,31,0
28,22739,28030,826,4,0
40,39616,96297,676,3,0
51,103400,62183,680,32,0
57,100676,63825,370,14,0
40,80283,68518,593,7,0
46,111581,40682,558,32,0
48,125252,14294,651,19,0
24,30545,61602,449,24,1
57,55176,50242,647,33,0
50,26602,12542,816,8,0
38,71413,29960,752,15,0
19,38047,65099,732,12,1
35,182636,77086,430,5,0
64,141160,14981,820,9,0
50,83983,81641,694,27,0
54,154348,42683,613,37,0
51,137520,71488,446,12,0
37,142136,71134,738,10,0
52,27737,41786,313,26,1
35,123659,88922,316,21,0
63,19457,89090,439,25,0
41,157223,31067,740,29,0
25,156987,20550,436,20,0
47,171678,64603,750,8,0
61,145646,37476,673,11,0
27,120991,11988,496,14,0
40,28698,79011,570,17,0
28,196154,64671,592,6,0
19,159753,93829,571,28,0
43,78011,53405,531,25,1
53,159122,27997,315,21,0
50,107771,73775,815,26,0
64,193254,8274,436,33,0
30,126836,51983,422,37,1
57,102747,94183,440,10,0
42,166265,7775,367,21,0
21,110830,42479,771,31,0
59,94842,16924,346,35,0
36,112758,41223,392,11,0
35,161089,85550,394,17,1
54,172329,34804,394,8,0
47,147996,81605,479,10,0
36,148512,98521,632,36,0
40,51210,17265,522,17,0
33,79904,42821,579,28,0
18,45737,51277,438,29,0
29,98127,43572,474,13,0
41,73510,44246,743,33,0
51,86118,77684,387,17,0
25,80018,87702,718,32,1
35,121557,63533,637,8,0
22,154426,26490,390,15,1
43,85183,64967,745,6,0
47,137090,86276,811,2,0
30,64019,78331,614,38,0
36,57043,84603,337,5,0
46,28539,71903,661,2,0
20,129926,14926,538,14,0
43,189647,87634,559,2,0
57,157057,19287,479,22,0
29,29419,87886,591,0,0
19,107152,85461,378,24,1
28,91840,17224,515,32,1
61,105640,49261,736,3,0
45,121600,11945,437,32,0
35,62640,83329,721,32,0
30,191509,74832,329,0,0
54,186100,12163,348,39,1
39,171886,83867,475,23,0
29,43552,40571,508,31,0
19,112975,19181,544,26,1
54,90992,62054,417,4,0
24,136320,54620,388,28,1
43,105262,53332,393,27,0
43,192525,81846,794,10,0
41,54724,50080,652,39,0
29,63576,49645,671,29,0
33,175389,6340,844,23,0
40,25159,33339,511,25,1
57,105027,45054,703,1,0
26,181662,80743,479,33,1
49,171481,25687,753,15,0
32,136395,38780,715,1,0
54,35705,56219,484,11,1
30,74201,95069,763,6,0
22,79898,16881,798,13,0
28,103169,7732,556,31,0
27,183451,68524,443,6,0
30,112203,58390,847,35,0
58,55902,12304,372,34,1
63,193707,56371,508,17,0
32,136106,77235,465,31,0
59,149791,74239,355,12,0
24,125530,38621,309,9,1
57,140466,54547,679,11,0
45,60703,40738,675,2,0
49,33449,14106,678,21,0
52,101300,83025,326,19,0
32,63429,72554,521,8,1
53,145546,61255,704,9,0
38,190011,89843,435,1,1
23,141850,53011,341,24,0
18,28301,73657,551,6,1
21,108064,46724,315,2,0
28,199969,49871,520,4,1
61,127359,13038,441,16,0
43,79339,69759,705,23,0
54,64089,8593,458,6,1
40,39569,45559,521,14,0
46,152472,56441,639,30,0
38,122738,23876,751,12,0
62,91419,85348,527,36,0
62,41543,85245,692,3,0
44,33788,43448,338,10,1
56,129943,72632,582,34,0
57,107767,30593,651,13,0
30,110505,78035,327,17,0
40,172484,72104,727,7,0
33,186375,22229,353,32,0
47,86676,69790,345,8,0
21,168614,68472,783,26,0
57,71764,42044,847,35,0
33,135210,33964,465,20,0
48,68335,88164,645,35,0
59,119541,67947,496,18,0
42,157730,42505,367,17,0
61,113331,5915,708,13,0
29,193161,94092,411,25,1
43,107856,87394,806,2,0
54,160482,29401,468,34,1
50,56280,84564,501,37,0
45,116934,10589,614,31,0
26,103823,26708,447,3,0
29,42881,43667,422,3,0
22,111003,46401,668,12,0
45,94077,86891,678,23,0
52,146403,78670,647,8,0
22,115021,67021,424,22,0
51,141423,36783,436,8,0
63,179156,89324,572,26,0
51,103164,34829,823,8,0
30,84087,67554,714,28,0
56,184938,51328,748,33,0
59,75252,23770,455,21,0
62,116221,82768,471,38,0
31,22792,10425,535,9,1
28,174964,18824,568,17,0
59,172010,6161,634,16,0
55,95884,17912,369,37,1
21,193050,19058,422,7,1
50,188764,94101,558,30,0
24,88110,89013,500,24,1
58,115932,92591,356,21,1
25,35957,39929,733,34,0
54,29111,72825,699,20,0
27,177839,18840,595,12,0
60,104968,65333,423,39,0
32,62986,99439,423,16,1
55,16209,71929,674,5,1
32,31553,44368,370,33,1
22,143802,21576,787,39,0
46,177808,78797,683,12,0
36,101316,49325,794,14,0
27,30023,89837,715,0,0
29,34819,48878,661,17,0
21,166508,89860,620,10,0
48,68025,31768,420,27,0
35,90919,17872,755,3,0
33,154786,91140,316,32,0
57,51320,37522,368,32,1
53,47235,86716,695,14,1
42,102525,90137,532,36,0
40,47668,65653,710,30,0
29,83068,9836,637,23,0
51,64973,96554,689,7,0
53,182348,33843,660,32,0
54,195418,66734,424,16,0
20,31849,95634,626,1,0
26,181865,7313,653,28,0
35,141027,65543,578,4,0
60,72297,90345,710,39,0
52,63287,94943,558,31,1
51,148609,60688,397,31,1
58,178939,61277,407,37,0
31,23307,48365,570,37,0
21,44051,72181,751,17,1
46,173519,97895,827,10,0
58,156374,27535,802,27,0
62,86811,66460,808,25,0
32,122767,46167,838,36,0
45,82438,44008,439,21,0
59,50791,67296,523,27,1
33,28739,18042,426,4,0
29,136745,93678,410,2,0
22,96221,38029,835,34,0
51,99513,70475,525,33,0
59,54286,36254,341,14,0
18,52707,61648,380,22,1
56,117697,71147,697,34,0
49,22139,65874,538,13,0
43,175039,97789,378,22,0
34,141478,97555,627,37,0
44,43786,63082,377,39,0
41,29828,66382,464,8,0
52,22224,70720,482,14,1
63,198150,22052,513,36,1
59,59173,48732,785,8,0
56,54630,77002,733,31,0
43,46371,33220,766,16,0
55,91394,59012,543,2,1
40,119308,63940,569,11,0
39,49594,92413,410,37,1
21,136240,21599,408,32,0
26,63205,20389,738,32,0
21,179865,80006,546,26,0
24,81321,20642,677,14,0
40,125626,98660,352,3,0
19,197024,67843,641,29,0
41,177186,75173,389,16,0
57,42865,9963,751,2,0
48,151258,26686,595,33,0
64,128887,57374,726,28,0
48,72704,26796,414,15,1
64,185441,20257,736,24,0
57,142269,63097,452,10,0
60,198621,86470,784,24,0
51,180066,14124,310,12,0
41,83176,73018,495,2,0
43,134738,14027,568,19,0
33,51417,76373,587,20,0
64,127936,87283,828,14,0
30,110153,8774,834,7,0
32,76700,30892,385,38,1
44,79276,5626,786,29,0
21,184477,49542,779,17,0
33,50971,43605,385,7,1
47,75740,22560,310,9,1
61,120539,21840,493,39,1
47,153365,96288,699,18,0
53,188448,62704,464,8,0
20,142377,95397,631,8,0
39,79314,48286,728,27,0
39,170306,82950,460,18,0
29,72679,70920,548,30,1
38,111284,32668,627,25,0
21,37322,5254,397,27,1
48,15843,36242,568,30,0
61,64145,13305,600,11,0
48,41216,53345,748,37,0
40,130812,78651,415,14,0
37,134399,93712,757,2,0
32,123805,77260,805,28,0
40,195988,20918,312,7,0
45,123196,22646,524,1,0
33,58299,10793,410,2,0
54,79723,42408,673,29,0
38,141607,74497,828,32,0
32,135263,79930,804,35,0
34,22403,34134,555,20,0
54,36013,89382,726,34,0
30,16604,77058,607,15,0
36,57229,50367,379,9,0
47,158934,94542,620,0,0
62,125828,28596,743,0,1
35,26594,46504,323,31,1
31,87042,92007,732,39,0
53,83326,96698,313,16,0
53,196476,74252,385,5,0
37,182781,63661,682,4,0
36,92950,23052,715,26,0
62,171305,29631,457,33,0
61,64009,75480,403,0,1
24,36617,19936,319,37,1
61,136074,31520,487,31,0
21,178795,56650,570,32,0
51,63465,49323,356,18,1
19,58415,96511,826,14,1
22,95460,24931,447,9,1
27,99763,34575,597,25,0
49,121093,8902,409,18,1
59,106842,80362,515,36,0
58,174690,18288,724,1,0
30,34622,24304,314,7,1
56,71852,74225,695,10,0
22,53052,12545,440,4,1
27,83225,51897,669,10,0
27,160971,32548,460,15,0
55,153026,54090,649,34,0
44,120567,91315,343,26,0
38,177161,37984,573,10,0
25,54818,7817,744,35,0
18,194920,70643,537,29,1
45,102181,48368,603,2,0
56,93593,27881,754,37,0
31,188222,30742,329,23,0
38,98262,42606,746,4,0
47,65806,27438,722,12,0
38,87672,22831,769,21,0
26,171636,47187,699,33,0
34,190577,58747,391,22,0
22,64149,62651,678,13,0
48,130765,17119,831,15,0
57,80657,23053,636,38,0
55,67347,8769,377,15,0
60,82750,77921,540,5,0
36,67143,64010,836,8,0
53,180909,72935,808,27,0
50,25076,85045,600,1,0
30,148034,23577,467,18,1
31,35407,65599,365,39,0
50,105519,72419,789,26,0
46,109689,43304,581,14,0
60,70572,78872,758,11,0
53,62919,98983,593,20,0
61,33703,29651,802,0,0
27,198463,7772,354,16,1
48,121260,79113,661,12,0
23,151627,67617,745,26,0
18,16892,7214,625,32,0
24,185247,21830,441,2,1
44,192613,9496,501,33,0
38,95749,60411,784,10,0
45,62542,14315,541,20,0
33,199062,72617,591,18,0
63,104429,99013,581,22,0
40,110289,11961,821,10,0
37,172700,38365,767,18,0
55,182849,18809,768,13,0
42,96518,61038,358,6,0
45,108022,46337,363,31,0
22,111350,84953,637,9,0
38,57846,38650,823,29,0
35,74176,47839,431,0,0
64,91594,56968,774,6,0
23,89424,90480,607,3,0
46,91092,73929,758,11,0
36,142749,28719,807,11,0
50,65921,97311,757,37,0
18,165297,12731,326,10,1
62,104861,13193,455,4,0
20,59084,39714,426,35,1
59,108856,27209,309,30,0
38,96836,41182,327,20,0
52,147189,5957,826,30,0
58,22447,70311,730,27,0
57,163268,19082,636,29,0
20,17460,18082,582,32,0
42,68490,32655,386,8,0
62,135171,14488,610,29,0
55,127590,8692,788,32,0
62,166175,40104,583,5,0
37,190978,48336,382,17,1
61,64326,23529,373,29,0
62,139592,54515,662,1,0
51,140899,76672,300,21,0
38,190095,88434,621,7,0
40,95865,37710,401,21,0
23,136428,35607,640,36,0
30,48461,27362,599,35,0
40,20976,92118,823,26,0
26,67449,46279,461,29,0
34,150440,57311,324,21,0
19,149095,82168,807,30,0
36,106321,72769,600,5,0
36,122435,79322,394,29,0
24,76891,6012,431,9,0
59,62664,91630,452,5,0
59,196752,60646,355,1,1
37,195317,88462,461,29,0
26,155594,12276,358,21,1
34,57721,95938,464,38,1
44,185500,86905,465,2,0
64,160248,73977,802,9,0
19,101969,77450,600,26,0
53,34126,58359,705,3,0
36,16096,48293,375,31,0
34,105111,32017,494,35,0
22,175912,6121,303,31,0
56,69155,28052,347,31,0
35,192815,74798,715,31,0
24,164559,19783,450,38,0
34,132430,47264,377,18,0
56,85265,93289,614,26,0
53,121511,72495,784,5,0
57,195349,86213,448,26,0
62,79086,82863,310,1,0
21,46185,79215,388,14,1
55,193965,51497,739,11,0
42,168453,63882,771,24,0
22,63555,87355,323,27,0
47,26764,52354,630,15,0
29,73132,66229,387,15,0
21,167954,13021,828,25,0
41,185247,55273,789,36,0
46,181192,58572,336,31,1
26,123007,25283,787,39,0
21,152955,86761,660,25,0
41,84756,73085,516,37,1
31,43293,85883,607,7,0
22,39656,53408,307,32,0
35,57604,41094,594,11,0
59,138555,18718,840,37,0
36,56307,9504,720,34,0
29,25104,17129,510,22,0
35,40966,30697,621,0,0
34,65710,80883,493,10,0
47,32822,95461,355,35,1
41,148997,23554,656,2,0
28,111829,78015,736,25,0
52,19819,54410,690,7,0
40,151443,40220,379,3,0
34,26984,28762,306,25,0
18,103297,54328,519,36,0
32,155352,81157,490,25,0
49,146364,50025,764,16,0
26,85979,33534,578,24,0
32,155254,82645,579,30,0
45,59362,22987,640,12,0
41,17576,13478,641,34,0
52,119582,68789,517,9,0
39,15819,20660,335,12,1
44,190522,91474,498,0,0
36,101145,42808,380,27,1
62,198844,9867,656,13,0
29,170385,57860,610,19,0
37,87248,92759,836,4,0
18,141308,77120,603,6,0
38,160929,31789,307,3,0
62,42083,40077,687,24,0
18,42565,68192,720,11,0
27,129265,16159,656,26,0
64,20751,73531,603,23,1
49,44285,62126,313,24,0
56,86150,64556,450,15,1
39,52402,6633,332,26,1
35,101276,35113,414,27,0
63,100564,68870,509,35,0
49,149279,20399,421,0,1
44,129590,20607,757,27,0
45,17656,45740,632,14,0
35,139564,6661,409,30,0
56,163706,87907,323,17,0
46,57772,24505,675,13,0
35,41418,51575,541,34,1
61,129915,26258,731,20,0
25,117202,12885,475,37,1
48,110645,16195,545,12,1
51,124787,45699,672,8,0
24,47720,70031,430,36,1
53,139139,40611,422,9,0
35,52907,98907,693,27,1
55,87103,28099,400,28,1
26,149532,48775,359,32,0
26,107504,31968,763,28,0
63,50282,69777,477,38,1
25,183124,21958,335,1,1
52,176384,57412,807,1,0
35,151576,75645,757,10,0
22,100089,35026,316,19,0
31,144976,50209,755,17,0
45,136101,43550,653,22,0
47,32048,60230,364,23,1
21,102257,96794,383,2,1
56,128353,61465,804,9,0
37,127107,30777,399,31,0
42,44100,37914,454,33,0
45,17632,78998,537,25,1
29,194771,7963,569,35,0
19,115193,74778,525,15,1
60,192118,44366,663,12,0
31,128298,94490,408,16,0
39,42694,17211,548,31,0
48,125814,76343,455,30,0
40,32343,17337,321,10,1
37,30406,96836,563,37,0
55,49775,32527,603,18,0
21,77240,62356,486,2,0
32,179561,88145,810,24,0
41,180094,46618,556,37,0
42,113408,47936,769,34,0
18,49429,25329,747,37,0
24,28170,94952,483,16,1
48,85954,15397,709,10,0
29,163547,75621,690,35,0
59,173368,16164,379,15,0
22,168195,90538,587,21,0
61,142776,22775,686,34,0
59,21960,10912,448,21,0
55,194795,66816,714,15,0
29,73408,73713,722,35,0
56,112479,40186,627,7,0
35,180411,56309,800,32,0
19,50783,94078,753,27,1
27,87542,84652,639,20,0
32,165902,66401,365,0,1
47,98349,7378,526,4,1
61,96129,15663,410,6,0
34,31625,48231,435,22,0
21,120390,89140,583,13,0
24,139242,69495,324,32,1
58,98987,70781,573,25,0
48,106990,85392,557,13,0
56,137519,48303,648,29,0
51,55106,93219,634,9,0
23,161647,21992,393,15,0
55,111099,49679,713,25,0
62,189920,62636,709,17,0
51,87423,12889,628,18,0
61,52903,81911,775,24,0
32,92988,61771,498,12,0
31,125258,33748,541,21,1
23,85913,39378,670,8,0
54,50168,90547,461,19,0
49,100078,28629,335,29,0
20,189950,42775,712,9,0
20,94792,21819,534,17,0
39,21902,82492,583,38,0
39,95624,12893,321,3,0
27,87545,25241,552,4,0
20,165536,17199,357,19,0
29,149606,73796,672,2,0
46,92335,99242,350,22,0
34,22791,34254,835,30,1
24,24512,33954,601,1,1
30,36720,40548,507,15,0
19,160635,97297,690,3,0
21,198327,50642,336,24,0
27,99756,85787,808,14,0
56,57094,35368,623,4,0
41,109209,51826,706,37,0
34,176694,95596,459,39,0
23,168870,81533,339,31,1
36,104361,53463,496,5,1
22,173239,44364,678,38,0
49,62373,7533,682,28,0
27,23381,28226,673,2,0
26,157033,54089,334,22,1
44,116683,76092,603,33,0
30,141997,17293,742,32,0
36,160421,94300,826,30,0
38,127333,40934,435,35,0
41,163943,16169,340,32,0
55,171215,89528,684,16,0
21,35207,62086,715,30,0
41,17622,74916,814,4,1
52,118823,87297,635,23,0
20,144575,19837,839,33,1
21,175549,11592,740,23,0
54,15913,95853,534,22,0
57,28055,46744,323,1,1
52,118533,69609,678,14,0
48,36585,71096,399,38,0
61,173381,70167,653,24,0
42,156936,48142,783,14,0
57,167853,68203,605,37,0
30,109588,97940,709,22,0
21,93133,27227,476,27,0
63,146613,23819,555,6,0
31,118166,71756,684,35,0
30,46983,78032,346,32,1
44,155470,52850,488,18,0
23,39759,64211,637,13,0
34,76353,58325,511,27,0
53,74325,60054,733,12,0
57,36118,48908,477,30,1
52,94284,37553,375,2,0
34,101609,31439,768,17,0
58,122752,60431,416,10,0
19,91479,98656,520,14,0
30,166552,61643,408,11,0
19,185991,46330,686,30,0
45,46081,25633,746,38,0
60,134502,80338,567,25,0
43,51548,75048,820,25,1
39,89010,47005,677,19,0
64,133288,91271,736,9,0
60,45888,42852,345,39,0
20,46608,39372,783,31,0
52,24401,51720,747,4,1
29,70417,5853,404,14,1
41,80976,95146,834,13,0
22,67959,92223,636,16,0
37,60694,79974,519,6,1
56,178493,21002,452,0,0
56,64625,12366,469,20,1
30,120593,91825,415,6,1
58,131545,57793,624,11,0
62,34163,12155,685,7,0
29,20036,93799,673,36,0
30,194990,75495,607,2,0
27,142635,84444,777,0,0
50,142267,27991,843,39,0
57,112193,51339,731,3,0
33,166798,26520,667,23,0
62,139426,66794,781,37,0
52,92083,81711,680,24,0
20,171204,34111,447,31,0
22,53011,59243,758,4,0
43,103953,32608,548,15,0
28,117646,30895,438,24,1
24,190509,95077,320,27,0
27,176104,75284,470,23,0
59,52822,65515,821,17,0
51,133026,45225,382,1,1
20,71909,96271,594,16,1
25,57786,73854,412,17,0
48,144918,11353,363,34,0
28,42932,63246,434,35,1
62,109187,71544,681,21,0
24,68371,92597,461,1,1
62,170642,45149,611,37,0
19,76155,14414,789,31,0
23,21415,95238,447,14,1
58,115198,18693,416,17,0
49,53227,84884,806,15,0
37,77098,36105,698,38,0
51,133489,11891,519,35,0
33,66807,78473,414,7,1
42,149590,63396,643,18,0
29,36460,90329,464,13,0
24,57440,60225,596,36,0
56,79042,98697,432,24,1
34,79624,97090,477,39,0
62,44396,16188,565,1,0
28,130333,75339,685,22,0
23,139429,37688,736,15,0
40,94935,32309,490,19,0
44,16698,41167,637,31,0
63,137625,50667,705,19,0
23,191645,87223,682,34,0
55,51194,88848,734,11,0
19,59664,40217,401,32,0
39,26416,26809,646,10,0
37,60384,39645,423,23,1
42,167241,8274,834,20,0
32,85110,73762,540,35,0
46,113694,20681,370,8,0
25,193750,44489,738,7,0
54,158771,87141,523,31,0
50,32665,16605,595,27,0
39,115026,58082,550,17,0
64,193071,40530,488,7,0
22,32341,93206,415,14,0
56,185277,46967,373,35,1
35,64914,19703,623,3,0
55,86132,34104,625,4,0
54,20949,57518,740,39,1
47,61784,83536,569,8,0
48,21621,10206,664,16,0
27,76037,11147,607,25,0
32,186617,42304,616,37,0
59,20514,10290,573,15,0
61,54983,41101,833,0,0
35,43656,94049,623,3,0
40,108621,95042,310,1,0
50,103538,66248,484,2,0
33,161353,39133,808,24,0
55,177543,71589,823,17,0
52,153825,36545,382,1,1
51,154813,17373,563,21,0
45,82541,76392,683,19,0
19,197407,63052,583,25,0
47,42141,46261,389,8,0
30,195547,28497,651,27,0
58,156189,57468,810,18,0
33,105222,63763,449,9,0
22,16823,76536,495,0,1
45,35005,70090,432,26,0
56,147210,35844,563,27,0
62,180560,43921,326,22,0
37,64875,78216,532,25,0
41,169087,88961,639,3,0
44,148484,9844,483,11,0
47,94331,6395,767,25,0
62,114070,29158,552,37,0
44,28119,58430,538,39,1
43,26573,45149,799,8,0
24,123656,79536,811,1,0
59,90021,89937,595,31,0
64,173015,79185,463,7,0
55,19017,87638,363,9,1
22,183110,92620,648,13,0
40,197182,47476,401,6,0
45,174869,79833,431,5,0
51,155258,87232,677,26,0
32,127082,47799,839,5,0
49,37781,83641,440,8,1
43,115155,57164,461,21,0
48,173624,22005,438,29,0
36,152982,57186,340,26,1
26,18871,67680,520,1,1
46,29627,9211,759,31,0
56,43586,51489,761,22,1
21,191326,96756,824,0,0
20,89950,24734,584,1,1
46,77126,46046,610,32,0
28,69029,71784,615,23,0
50,190283,81030,508,20,0
55,119665,57213,617,11,0
28,62733,16537,444,38,0
44,35300,72910,395,12,0
50,180910,68711,557,33,0
38,23828,19022,489,30,0
56,128747,66307,792,5,0
48,152914,13327,602,13,0
55,123872,76281,322,33,0
63,166131,35137,337,10,0
19,129402,94044,491,15,1
44,46430,54513,821,18,1
53,132208,39610,686,10,0
28,99445,49448,719,8,0
64,44930,70309,761,24,0
35,134705,42441,757,5,0
18,38221,84035,848,37,0
52,158478,65387,671,34,0
52,15259,92317,636,18,0
48,165452,90023,642,13,0
45,39192,94072,416,5,1
56,121561,52856,622,2,0
18,30733,37903,595,2,1
42,132466,71622,537,4,0
60,196393,70744,341,20,1
55,158388,15279,536,12,0
37,63948,76340,729,39,1
20,105771,54665,753,4,0
19,126491,96903,479,35,1
35,101919,96952,359,17,0
61,108653,57198,763,35,0
27,130048,92279,323,24,0
22,151786,83576,765,27,0
26,21043,97702,495,22,0
19,199021,64971,542,24,1
51,139953,94321,784,31,0
55,157625,56545,561,25,0
48,109045,63760,301,13,0
27,51528,75622,579,17,0
29,44784,50106,609,5,0
53,88904,37453,431,23,0
38,68192,98209,779,4,1
64,21170,12370,537,26,1
23,55896,70144,652,13,0
20,120287,53595,338,20,0
27,109782,18307,301,20,1
22,100919,67059,376,29,0
63,59007,10722,796,1,0
43,75849,23461,318,16,0
38,127917,58958,361,20,0
62,128638,58476,638,9,0
43,157681,24023,656,36,0
55,59610,98306,440,29,1
61,114565,91250,848,5,0
43,85818,69595,674,13,0
25,34270,69112,461,24,1
22,167398,46829,532,5,0
32,167603,36059,437,21,0
33,192032,9053,547,37,0
18,39354,5837,505,17,0
33,96519,93939,748,4,0
54,53639,10619,314,8,1
20,118064,63003,300,19,0
64,115284,73804,621,37,0
48,196811,8274,546,17,0
30,174200,47113,652,6,0
33,103523,21029,369,15,0
60,60832,15887,425,4,1
38,100557,85679,515,1,0
19,104220,64015,366,14,1
44,71316,53784,453,30,1
55,40790,67493,533,5,1
43,81683,60680,675,20,0
55,20550,95308,726,14,0
63,38769,21447,714,23,0
42,115754,45399,419,15,0
28,153210,7083,626,16,0
25,193476,97750,492,37,1
25,119661,19326,759,26,0
50,89601,40504,356,2,0
24,89101,48088,775,30,0
55,16194,25172,460,22,1
38,185327,77215,727,8,0
25,198751,71154,347,12,0
38,44533,81526,428,38,1
37,100401,58626,393,14,1
25,151687,96757,316,22,0
63,120762,62932,382,34,1
48,30084,86341,728,33,0
46,154088,80260,630,17,0
26,172797,23056,738,16,0
32,49825,92951,479,36,1
47,59072,59436,506,30,1
43,164873,54258,680,39,0
27,52246,51346,838,29,0
46,168926,76553,527,25,0
33,72793,64002,622,13,0
53,183458,32822,447,35,0
37,160214,20165,517,38,1
62,32393,63918,707,1,0
54,149850,34674,709,11,0
39,117284,80171,377,30,0
24,161390,94065,560,18,0
40,62068,69846,453,11,0
58,59778,7851,587,9,0
57,112506,92628,335,38,0
46,147322,26831,538,18,0
33,189420,43872,657,32,0
55,33703,35039,595,9,0
45,184750,75311,702,6,0
55,67347,27924,686,39,0
48,83493,7794,410,9,0
31,168794,23980,744,6,0
50,28894,88194,571,23,0
26,72063,26137,414,9,1
44,40772,55137,487,32,1
41,113290,97065,694,11,0
30,182114,14593,332,25,0
43,106168,47270,414,39,0
46,123754,43478,744,20,0
60,79181,98523,837,18,0
45,193928,41419,802,36,0
45,181888,81743,827,37,0
25,115210,83777,325,11,1
40,83475,50951,402,13,0
46,26670,47193,815,18,0
22,122036,76254,448,0,0
59,138397,70597,416,2,1
24,110142,16342,779,4,0
59,94967,62067,413,22,1
53,138303,99470,381,29,0
58,155121,71415,345,2,1
44,26028,38950,416,28,1
63,119762,83078,349,27,0
19,49520,14055,464,11,0
42,44587,51669,493,11,1
26,33050,7386,649,11,0
44,79597,78393,782,4,0
18,150533,11223,706,1,0
40,123909,78608,453,27,1
27,184052,95304,805,0,0
59,17118,62368,481,36,0
42,53394,35343,476,26,0
20,188381,24750,678,14,0
23,22358,67215,780,10,0
23,127853,46612,814,36,0
19,57030,27210,681,23,0
35,71291,55369,305,22,0
40,175994,81652,691,35,0
19,119664,63267,524,30,0
29,78215,28043,425,22,0
39,190519,99022,725,15,0
54,126517,56805,575,2,0
37,46572,77889,510,14,0
56,173589,72912,610,9,0
41,35649,27152,575,8,0
37,114692,72094,611,37,0
18,44927,59986,670,12,1
18,138499,75156,659,16,0
34,157663,6500,461,6,0
18,171904,90918,564,26,0
62,100638,58613,365,37,0
47,144666,43674,845,11,0
58,53289,75660,394,31,0
64,91411,59255,365,36,0
20,146497,17762,577,32,0
63,176672,49407,499,13,0
28,95279,39701,528,23,1
41,153080,26653,527,9,1
39,56176,8477,790,31,0
61,119617,42309,799,11,0
62,23801,31035,558,16,0
43,158717,66263,334,28,1
30,40300,61742,758,1,0
18,159229,84988,544,34,0
41,155087,61911,451,34,0
27,74111,82239,448,12,1
52,90705,42259,495,16,0
41,162345,74583,763,26,0
45,126270,31251,438,7,0
53,43465,86247,701,17,0
33,76723,27916,802,0,1
57,39759,9707,506,36,1
33,90347,55779,364,22,0
34,52094,37245,735,9,0
